"ds05008","200","132","1.51515","1000","662","1.51057"
"ds06001","200","116","1.72414","1000","579","1.72712"
"ds06002","140","200","0.7","559","800","0.69875"
"ds06003r","157","200","0.785","629","800","0.78625"
"ds06004","200","149","1.34228","1000","746","1.34048"
"ds07001","189","200","0.945","758","800","0.9475"
"ds07002","200","155","1.29032","1000","775","1.29032"
"ds07003","116","200","0.58","466","800","0.5825"
"ds07004","200","158","1.26582","1000","792","1.26263"
"ds07005","200","127","1.5748","1000","634","1.57729"
"ds07006","200","121","1.65289","1000","607","1.64745"
"ds07007","200","87","2.29885","1000","436","2.29358"
"ds07008","200","133","1.50376","1000","667","1.49925"
"ds07009","107","200","0.535","429","800","0.53625"
"ds07010","200","150","1.33333","1000","751","1.33156"
"ds07011r","127","200","0.635","508","800","0.635"
"ds07012","200","139","1.43885","1000","696","1.43678"
"ds07013","200","158","1.26582","1000","788","1.26904"
"ds07014","200","124","1.6129","1000","618","1.61812"
"ds07015","200","133","1.50376","1000","667","1.49925"
"ds07016","200","137","1.45985","1000","684","1.46199"
"ds07017","200","150","1.33333","1000","750","1.33333"
"ds07018","200","171","1.16959","938","800","1.1725"
"ds07019","200","147","1.36054","1000","735","1.36054"
"ds07020","200","133","1.50376","1000","665","1.50376"
"ds08001","200","160","1.25","1000","800","1.25"
"ds08002","200","133","1.50376","1000","666","1.5015"
"ds08003","200","119","1.68067","1000","593","1.68634"
"ds08004","153","200","0.765","610","800","0.7625"
"ds08005","200","125","1.6","1000","625","1.6"
"ds09001","200","125","1.6","1000","627","1.5949"
"ds09002","200","115","1.73913","1000","574","1.74216"
"ds09003","200","133","1.50376","1000","667","1.49925"
"ds09004","200","125","1.6","1000","625","1.6"
"ds09005","200","128","1.5625","1000","641","1.56006"
"ds10001","160","200","0.8","640","800","0.8"
"ds10002","200","160","1.25","1000","800","1.25"
"ds10003","160","200","0.8","640","800","0.8"
"ds10004","200","160","1.25","1000","800","1.25"
"ds10005","200","160","1.25","1000","800","1.25"
"ds10006","160","200","0.8","640","800","0.8"
"ds10007","200","160","1.25","1000","800","1.25"
"ds10008","200","160","1.25","1000","800","1.25"
"ds10009","200","138","1.44928","1000","689","1.45138"
"ds10010","200","138","1.44928","1000","688","1.45349"
"ds10011","200","139","1.43885","1000","696","1.43678"
"ds10012","139","200","0.695","557","800","0.69625"
"ds10013","140","200","0.7","561","800","0.70125"
"ds10014","136","200","0.68","544","800","0.68"
"ds10015","200","126","1.5873","1000","631","1.58479"
"ds10016","116","200","0.58","463","800","0.57875"
"ds10017","200","114","1.75439","1000","572","1.74825"
"ds10018","200","116","1.72414","1000","578","1.7301"
"ds10019","200","117","1.7094","1000","583","1.71527"
"ds10020","200","118","1.69492","1000","590","1.69492"
"ds10021","200","118","1.69492","1000","588","1.70068"
"ds10022","159","200","0.795","638","800","0.7975"
"ds10023","200","113","1.76991","1000","563","1.7762"
"ds10024","200","133","1.50376","1000","667","1.49925"
"ds11001r","200","130","1.53846","1000","649","1.54083"
"ds11002","200","133","1.50376","1000","667","1.49925"
"ds11003","200","132","1.51515","1000","661","1.51286"
"ds11004","144","200","0.72","578","800","0.7225"
"ds12001NOW","200","150","1.33333","1000","750","1.33333"
"ds12002THEN","200","152","1.31579","1000","758","1.31926"
"ds12003","124","200","0.62","495","800","0.61875"
"ds12004","200","150","1.33333","1000","750","1.33333"
"ds12005","200","150","1.33333","1000","750","1.33333"
"ds12006","200","144","1.38889","1000","721","1.38696"
"ds12007","200","121","1.65289","1000","607","1.64745"
"ds12008","200","150","1.33333","1000","750","1.33333"
"ds12009","200","150","1.33333","1000","750","1.33333"
"ds12010","200","150","1.33333","1000","750","1.33333"
"ds12011","200","155","1.29032","1000","776","1.28866"
"ds12012","200","161","1.24224","997","800","1.24625"
"ds13001r","200","155","1.29032","1000","775","1.29032"
"ds13002","200","150","1.33333","1000","750","1.33333"
"ds13003r","200","86","2.32558","1000","431","2.32019"
"ds13004","200","132","1.51515","1000","661","1.51286"
"ds13005","200","138","1.44928","1000","689","1.45138"
"ds13006","200","133","1.50376","1000","667","1.49925"
"ds13007","200","142","1.40845","1000","712","1.40449"
"ds13008","200","165","1.21212","971","800","1.21375"
"ds13009","200","144","1.38889","1000","718","1.39276"
"ds13010","200","149","1.34228","1000","745","1.34228"
"ds13011","200","143","1.3986","1000","714","1.40056"
"ds13012","200","116","1.72414","1000","580","1.72414"
"ds13013","198","200","0.99","792","800","0.99"
"ds13014","200","119","1.68067","1000","593","1.68634"
"ds13015","200","145","1.37931","1000","727","1.37552"
"ds13016","150","200","0.75","600","800","0.75"
"ds13017","200","131","1.52672","1000","653","1.53139"
"ds13018","200","140","1.42857","1000","700","1.42857"
"ds13019","200","107","1.86916","1000","536","1.86567"
"ds13020","200","134","1.49254","1000","669","1.49477"
"ds13021","200","136","1.47059","1000","682","1.46628"
"ds13022","200","144","1.38889","1000","720","1.38889"
"ds13023","200","173","1.15607","924","800","1.155"
"ds13024","200","149","1.34228","1000","744","1.34409"
"ds13025","200","143","1.3986","1000","717","1.3947"
"ds13026","200","136","1.47059","1000","679","1.47275"
"ds13027","200","139","1.43885","1000","693","1.443"
"ds13028","200","133","1.50376","1000","667","1.49925"
"ds13029","200","133","1.50376","1000","667","1.49925"
"ds13030","200","133","1.50376","1000","667","1.49925"
"ds13031","200","134","1.49254","1000","668","1.49701"
"ds13032","200","131","1.52672","1000","653","1.53139"
"ds13033","200","133","1.50376","1000","667","1.49925"
"ds13034","200","135","1.48148","1000","674","1.48368"
"ds13035","200","146","1.36986","1000","730","1.36986"
"ds13036","200","133","1.50376","1000","667","1.49925"
"ds13037","200","133","1.50376","1000","667","1.49925"
"ds13038","200","136","1.47059","1000","682","1.46628"
"ds13039","200","133","1.50376","1000","667","1.49925"
"ds13040","200","133","1.50376","1000","667","1.49925"
"ds13041","144","200","0.72","575","800","0.71875"
"ds13042","200","141","1.41844","1000","704","1.42045"
"ds13043","200","133","1.50376","1000","667","1.49925"
"ds13044","200","53","3.77358","1000","263","3.80228"
"ds13045","200","133","1.50376","1000","666","1.5015"
"ds13046","200","131","1.52672","1000","657","1.52207"
"ds13047","200","160","1.25","1000","800","1.25"
"ds13048","200","100","2","1000","500","2"
"ds13049","200","160","1.25","1000","800","1.25"
"ds13050","200","195","1.02564","822","800","1.0275"
"ds13051","200","134","1.49254","1000","671","1.49031"
"ds13052","200","148","1.35135","1000","741","1.34953"
"ds13053","200","137","1.45985","1000","685","1.45985"
"ds13054","200","126","1.5873","1000","631","1.58479"
"ds13055","200","126","1.5873","1000","630","1.5873"
"ds13056","200","152","1.31579","1000","762","1.31234"
"ds13057","200","139","1.43885","1000","694","1.44092"
"ds14001","153","200","0.765","611","800","0.76375"
"ds14002","200","150","1.33333","1000","750","1.33333"
"ds14003","200","147","1.36054","1000","735","1.36054"
"ds14004","200","160","1.25","1000","800","1.25"
"ds15001","200","154","1.2987","1000","772","1.29534"
"ds15002","200","133","1.50376","1000","667","1.49925"
"ds15003","200","131","1.52672","1000","655","1.52672"
"ds16001THEN","130","200","0.65","520","800","0.65"
